TimeStamp;Open;High;Low;Close;Volumen (BTC);Volumen(USD);Weighted Price;Simple Moving Average (10);Simple Moving Average(30);Simple Moving Average(3);Target
42396;391.77;397;390.31;394.95;4262.63;1680905.77;394.34;393.508;416.7666667;393.64;382.11
42397;394.62;395.56;376;379.75;11414.05;4361450.24;382.11;393.514;415.286;389.6366667;375.41
42398;379.55;383.99;363.73;378.22;13544.15;5084544.75;375.41;392.867;413.478;383.9533333;377.1
42399;378.12;380.42;372.95;375.64;2587.11;975585.61;377.1;390.567;411.8133333;378.2066667;374.39
42400;376.38;379.3;364.7;368.49;4166.67;1559953.4;374.39;386.723;409.8566667;375.6333333;372.6
42401;368.49;378.2;366.53;371.81;7255.13;2703288;372.6;385.002;407.8336667;374.6966667;373.07
42402;371.79;375;369.73;373.05;5719.11;2133603.92;373.07;383.504;405.9826667;373.3533333;370.21
42403;373.05;374;365;368.38;7107.79;2631356.07;370.21;380.581;403.8953333;371.96;382.16
42404;368.4;391.88;367.95;387.82;13446.48;5138708.84;382.16;379.385;402.2323333;375.1466667;387.15
42405;388;389.5;382.99;385;7372.61;2854281.75;387.15;378.854;400.7993333;379.84;376.46
42406;384.97;384.98;371.35;375.39;5735.7;2159252.72;376.46;377.066;398.4243333;381.9233333;376.02
42407;375.39;380;373.04;375;2885.48;1084985.75;376.02;376.457;395.8333333;379.8766667;374.4
42408;375;378.99;369.99;370.91;6943.11;2599524.22;374.4;376.356;393.323;375.6266667;373.25
42409;370.95;377;369.12;373.2;5779.68;2157256.83;373.25;375.971;390.9443333;374.5566667;379.04
42410;373.69;383.85;372.12;379.66;10006.63;3792903.88;379.04;376.436;388.7323333;375.5633333;377.49
42411;379.34;380.5;373.54;377.98;7471.96;2820555.12;377.49;376.925;386.5606667;376.5933333;381.12
42412;377.98;383.48;377.07;383.27;5996.09;2285206.43;381.12;377.73;384.9356667;379.2166667;387.26
42413;383;390.99;382;390.99;7324.97;2836694.35;387.26;379.435;383.491;381.9566667;398.35
42414;390.99;406.71;390.59;405;9758.39;3887244.21;398.35;381.054;383.5916667;388.91;401.97
42415;405.5;409.71;393.4;399.28;7906.7;3178245.78;401.97;382.536;384.5816667;395.86;403.61
42416;399.5;407.8;396;407.51;8354.83;3372130.21;403.61;385.251;385.275;401.31;415.06
42417;407.51;421.11;404;415.54;11842.78;4915480.62;415.06;389.155;386.3753333;406.88;420.37
42418;415.59;424.9;413.4;421.18;8588.93;3610499.41;420.37;393.752;387.6583333;413.0133333;419.08
42419;421.15;422;414;419.54;5015.54;2101914.47;419.08;398.335;388.291;418.17;433.03
42420;419.98;443.96;419.5;434.63;11633.27;5037569.38;433.03;403.734;388.9643333;424.16;438.18
42421;434.63;447.99;426;438.5;10300.35;4513446.91;438.18;409.803;390.5766667;430.0966667;436.77
42422;438.33;439.5;431.15;438.27;5840.32;2550862.12;436.77;415.368;392.2006667;435.9933333;424.46
42423;438.26;440;414;419.1;10509.61;4460860.99;424.46;419.088;393.0346667;433.1366667;419.44
42424;419.1;424.28;409.07;423.78;7258.36;3044435.84;419.44;421.197;393.8786667;426.89;421.8
