TimeStamp;Open;High;Low;Close;Volumen (BTC);Volumen(USD);Weighted Price;Simple Moving Average (10);Simple Moving Average(30);Simple Moving Average(3)
02.06.2015;223.5;226.38;221.34;225.18;7744.88;1732996.27;223.76;233.232;#N/A;226.6766667
03.06.2015;225.17;226.99;222.57;224.27;5815.57;1308939.39;225.07;231.755;#N/A;224.7166667
04.06.2015;224.8;225.98;222;222.99;4822.41;1082749.64;224.52;230.578;#N/A;224.45
05.06.2015;222.99;225.9;219.03;224.4;8396.71;1874523.31;223.24;229.3;#N/A;224.2766667
06.06.2015;224.4;225.26;223.07;224.99;2772.33;622174.42;224.42;228.178;#N/A;224.06
07.06.2015;224.95;225.48;221.86;222.7;3324.38;744455.84;223.94;226.974;#N/A;223.8666667
08.06.2015;222.65;229.4;222.31;228.17;8986.87;2030845.81;225.98;226.024;#N/A;224.78
09.06.2015;228.05;230.79;226.67;228.7;9129.71;2092426.03;229.19;225.639;#N/A;226.37
10.06.2015;228.7;229.75;226.83;227.8;6284.74;1434862.91;228.31;225.375;232.5536667;227.8266667
11.06.2015;227.88;229.57;227.25;229.03;4727.31;1081972.66;228.88;225.731;232.1743333;228.7933333
12.06.2015;229.14;230.7;228.29;229.4;5887.15;1352496.72;229.74;226.329;231.809;228.9766667
13.06.2015;229.3;232.04;228.06;231.64;4009.8;924578.6;230.58;226.88;231.603;229.7333333
14.06.2015;231.64;234;230.94;232.09;3586.28;832952.91;232.26;227.654;231.438;230.86
15.06.2015;232.08;237.09;231.55;235.92;10505.58;2463163.92;234.46;228.776;231.387;232.4333333
16.06.2015;236;252.05;234.35;250.09;17954.59;4361600.09;242.92;230.626;231.6186667;236.5466667
